narrative,bg_idx,identifier,graph_component,comments,description ,chart_title,keywords,steps,data,events,headlines,step_idx,text_component,body_en,body_ru
mythical-nazis,01,nazi-wordcloud-intro,WordCloud,,,,all,1-2,,,,001,TitleText,"Mythical ""Nazis"" – constructing an enemy through the exploitation of historical memory",
mythical-nazis,,,,,The network graph depicts the result of N-gram language modelling analysis based on relevant Russian-language media headlines. Timeframe: 01.01.2022 – 31.07.2022. Data source: GDELT.,Network graph of words connected to “Nazis”.,,,,,,002,DefaultText,"One of the main theses of the anti-Ukrainian propaganda is the assertion that Ukraine is a ""Nazi state"" that infringes on citizens based on nationality and language. The topic of neo-Nazism in Ukraine is twisted by Russian propaganda to absurdity, and the media writes about it a lot. The propaganda mixes together Nazism, nationalism, neo-Nazism and fascism, using all these words when speaking about Ukraine. ",
mythical-nazis,02,nazi-colab-nazi,BarChart,,"The graph depicts the result of cluster analysis based on relevant Russian-language media headlines. Timeframe: 01.01.2022 – 31.07.2022. Data source: GDELT.
","Frequency of the ""Nazism and nationalism in Ukraine"" topic in Russian media.",topic 83,3-4,ok,nazi-general,ok,003,DefaultText,"The discrediting of Ukraine began back in 2014, after the Maidan protests, despite the fact that after the elections, none of the right-wing parties could get into parliament. After the invasion on 24 February 2022, references to Nazism have increased.",
mythical-nazis,,,,,,,,,,,,004,DefaultText,"Now, propaganda blames ""Nazis"" for all war crimes. This topic was present in the media even before the start of the invasion, but after February 24, the topic significantly grew. ",
mythical-nazis,03,nazi-wordcloud-victory,WordCloud,,The network graph depicts the result of N-gram language modelling analysis based on relevant Russian-language media headlines. Timeframe: 01.01.2022 – 31.07.2022. Data source: GDELT.,Network graph of words connected to “victory”.,побед,5,,,,005,DefaultText,"The narrative about  ""Nazis"" is not new and has a background. The participation of the nations of the USSR in World War II is an important part of historical memory for Russia. Every year in Russia there are huge military parades dedicated to the victory over fascism. However, the victory over fascism and national-socialism over the past decades has been turned by the Russian authorities into a cult that does not allow critical analysis. The myth about the fight against Nazism in Ukraine has become a logical continuation of Russian military propaganda.",
mythical-nazis,04,nazi-wordcloud-struggle,WordCloud,,The network graph depicts the result of N-gram language modelling analysis based on relevant Russian-language media headlines. Timeframe: 01.01.2022 – 31.07.2022. Data source: GDELT.,"Network graph of words connected to “fight against”.
",борьб,6,,,,006,DefaultText,"Distorting meanings, now Russian propaganda is actively drawing parallels between the war in Ukraine, Hitler’s regime, and the ongoing fight against the Nazis. The propaganda simply replaces the subjects using an established narrative. The ""struggle"" becomes an excuse for any military violence and a recognizable image of the enemy is created, thus depersonalizing the tragedy of Ukrainian people.",
mythical-nazis,05,nazi-wordcloud-bandera,WordCloud,,"The network graph depicts the result of N-gram language modelling analysis based on relevant Russian-language media headlines. Timeframe: 01.01.2022 – 31.07.2022. Data source: GDELT.
", Network graph of words connected to “Bandera”.,бандер,7,,,,007,DefaultText,"The word ""Bandera"" is used as another way of signifying ""Ukrainian nationalism"". Originally, it was the name for members of the ""Organization of Ukrainian Nationalists"" faction, which was led by Stepan Bandera from 1940 to 1959. But already in the USSR, this word was often used in Soviet propaganda. The concept of ""Bandera"" in the USSR gradually became a household word. Later, the term took an important place in Russian political propaganda and is used with a negative connotation. Step by step, members of any power and law enforcement agencies of Ukraine began to be called ""Banderites"", regardless of their attitude towards nationalism. Such a uniform interpretation of history became the basis for accusing the authorities of supporting neo-Nazism and creating the image of an enemy.",
mythical-nazis,06,nazi-wordcloud-reabilitation,WordCloud,,"The network graph depicts the result of N-gram language modelling analysis based on relevant Russian-language media headlines. Timeframe: 01.01.2022 – 31.07.2022. Data source: GDELT.
",Network graph of words connected to “Nazism”.,реабилитац,8,,,,008,DefaultText,"Now, the propaganda has statements about the rehabilitation of Nazism. It partly accuses the West of trying to ""reincarnate"" fascism and neo-Nazism in Ukraine, and partly accuses the internal enemies.",
mythical-nazis,07,nazi-colab-rehabilitation,BarChart,,"The graph depicts the result of cluster analysis based on relevant Russian-language media headlines. Timeframe: 01.01.2022 – 31.07.2022. Data source: GDELT.
","Frequency of the ""Rehabilitation of Nazism"" topic in Russian media.",topic 69,9,ok,mythical-nazi,ok,009,DefaultText,"The peak of references to these themes falls at the beginning of May. This peak is connected to the holiday of the great victory, which is now presented in new senses.",
mythical-nazis,08,nazi-wordcloud-denazification,WordCloud,,The network graph depicts the result of N-gram language modelling analysis based on relevant Russian-language media headlines. Timeframe: 01.01.2022 – 31.07.2022. Data source: GDELT.,"Network graph of words connected to ""denazification”.",денацификац,10,,,,010,DefaultText,"""Denazification"" is a term used by Putin as one of the goals of the ""special military operation"" during a speech where he announced the start of the ""special operation"".",
mythical-nazis,09,nazi-tableau-denazification,BarChart,,"The graph depicts the frequency of headlines mention in relevant Russian-language media. It uses regex expressions for the requesting word ""denazification"" in the Tableau worksheet. Timeframe: 01.01.2022 - 31.07.2022. Data source: GDELT.",Frequency of headlines mentioning the “denazification” marker,денациф,11-14,ok,nazi-denazification,ok,011,DefaultText,"However, the term ""denazification"" was actively used only at the beginning of the invasion, and then its number of mentions began to decrease.",
mythical-nazis,,,,,,,,,,,,012,DefaultText,"It can be assumed that the reason is the abstract and vague formulations about the ""goals of the special operation"", which have changed all the time, as well as the fact that the terms simply remained incomprehensible to the population and did not receive wide support.",
mythical-nazis,,,,,,,,,,,,013,DefaultText,"The term began to be actively used directly on the day of the invasion, 24 February 2022, and one of the largest peaks – March 29, falls on the moment when Russia announced that it had decided to ""drastically reduce"" military activity in the Kiev and Chernihiv directions.",
mythical-nazis,,,,,,,,,,,,014,DefaultText,"Another small peak was seen in May, when the agenda for the denazification of Europe appeared. This is possibly due to restrictions on gas supplies to some EU countries.",
